Job Title,Company,Location,Tags/Skills,Posted Date
Lead Data Engineer,Open Architects,🇺🇸 United States,"Engineer, Developer, DevOps, Python, DataOps",2025-06-02T22:32:54+00:00
Brand Designer,Contra,🌏 Worldwide,"Other, Consulting, Design",2025-04-22T19:49:20+00:00
Motion Designer,Contra,🌏 Worldwide,"Other, Consulting, Design",2025-04-22T19:43:05+00:00
Web Developer,Contra,🌏 Worldwide,"Other, Consulting, Developer",2025-04-22T19:41:39+00:00
VP of Engineering,Soda Data,🇪🇺 Europe,"Python, Senior, Engineer",2025-03-11T15:05:28+00:00
Symplast Forms Specialist Patient Intake Customizations,Symplast,🌏 Worldwide,"SaaS, Json, Visual Studio Code, Rest API, Form Customization, Patient Intake, Healthcare Software, Medical Forms",2025-04-15T15:27:45+00:00
Data Migration Specialist Data Import & Export,Symplast,🌏 Worldwide,"Data Import/export, Data Integrity, SaaS, Patient Data, Data Validation",2025-04-15T14:53:49+00:00
Technical Consultant,Contra,🌏 Worldwide,"Other, Consulting",2025-04-14T22:14:58+00:00
Senior Data Engineer,Soda Data,🇪🇺 Europe,"Developer, Data Engineer",2025-03-10T19:29:04+00:00
Data Warehouse Engineer,Plutus,🇪🇺 Europe,"Engineer, Backend, Front End, Developer",2024-10-11T00:00:04+00:00
Data Scientist & Data Engineer AI ML,Lemon.io,🇪🇺 Europe,"Engineer, Senior, Developer, Full Time, Python, English, SQL, NoSQL, Data Science, Machine Learning, Deep Learning, AI, Artificial Intelligence, Neural Networks, AWS, Azure, GCP, Databases",2024-02-07T12:53:37+00:00
Senior DataOps Engineer,Revelator,🇪🇺 Europe,"Developer, DataOps",2024-01-28T08:34:20+00:00
Senior Microsoft PowerBI Developer,Proxify,🌏 Worldwide,"Senior, Developer",2024-01-01T00:00:16+00:00
Senior Data Engineer,Proxify,🌏 Worldwide,"Senior, Engineer, Data Viz, Databases",2024-01-01T00:00:15+00:00
Senior Analyst for Customer Analytics & Insights,Nadine West,🌏 Worldwide,"Backend, Python, Other",2023-08-03T10:00:55+00:00
Senior Data Engineer Long term,Proxify,🌏 Worldwide,"Engineer, Senior",2023-07-30T00:00:13+00:00
Integrations Team Lead,CoinLedger,🌏 Worldwide,"Developer, Tech Lead, Crypto, Blockchain",2023-05-23T17:20:21+00:00
Senior Backend and Data Engineer,Paperpile,🌏 Worldwide,"Engineer, Developer, JavaScript, Backend, Node, Typescript",2023-05-09T05:46:36+00:00
Data Engineer,Tessera,🇪🇺 Europe,"Developer, JavaScript, Backend, DevOps, Python, Node, Crypto, Blockchain, Web3, Solidity, Ethereum, DataOps",2023-04-19T17:53:44+00:00
Staff Data Scientist Search Machine Learning Platform,Indeed,🇯🇵 Japan,"Developer, Cloud, Data Science, Testing, Elasticsearch, Machine Learning, Deep Learning, AI, Artificial Intelligence, Neural Networks, AWS, Product, Leadership, Algorithms",2022-10-13T05:43:02+00:00
Senior Product Manager SMB Labs,Indeed,🇯🇵 Japan,"Mobile, API, Testing, Product, Leadership, Product Management, Product Manager",2022-10-13T02:02:37+00:00
Technical Fellow Job Seeker Engineering,Indeed,🇯🇵 Japan,"Developer, Tech, Technology, Leadership, Cloud, AWS, Architecture, Machine Learning, Deep Learning, AI, Artificial Intelligence, Neural Networks, Product, Design",2022-10-12T08:13:19+00:00
Team Lead Senior Data Analyst,Asana Rebel,🇪🇺 Europe,"Marketing, Data Science, Data Analyst, Looker",2022-09-29T09:41:32+00:00
Data Engineer,iVisa,💃 Latin America,"Engineer, Other, Remote",2022-10-03T22:18:24+00:00
Data Engineer,Wander,🌏 Worldwide,"Data Science, Typescript, Python, SQL, JavaScript, React, Postgres, API, Mobile, Engineer, Backend, Full Time, PostgreSQL, Full-Time",2022-07-16T16:17:36+00:00
Lead Software Engineer Backend,Agot AI,🌏 Worldwide,"Executive, Backend, Infra, Ml, AWS, Video, Python, Medical, Engineer, Linux",2022-07-29T20:37:00+00:00
Senior Marketing Analyst,Komoot,🇪🇺 Europe,"Backend, Analytics, Data Analytics, Marketing, Marketing Data, Pandas, SQL, Travel, Senior, Go, Recruitment, Non Tech",2022-06-27T18:54:21+00:00
Backend Go Developer,Hunter.io,🇪🇺 Europe,"Golang, Developer, Ruby, Sys Admin, Backend, Video, Rails, System, Go",2022-06-20T15:13:29+00:00
Data Delivery Engineer,BaseCap Analytics,🇺🇸 United States,"SQL, Etl, Pipelines, Azure, NoSQL, Microsoft, Stats, Engineer, Analytics, Engineering",2022-06-02T00:00:04+00:00
Developer Advocate,Bytewax,🌏 Worldwide,"Python, Open Source, Stream Processing, Rust, Video, Edu, Content, Medical",2022-05-03T19:42:48+00:00
Senior Data Engineer,Arrakis,🌏 Worldwide,"Healthcare, Data Science, Quality Assurance, Lead, Senior, Marketing, Sales, Engineer, Engineering",2022-04-23T01:21:25+00:00
